"filename", "language", "Python", "HTML", "CSS", "comment", "blank", "total"
"d:\PBL_test\event_name\__init__.py", "Python", 21, 0, 0, 0, 7, 28
"d:\PBL_test\event_name\forms.py", "Python", 50, 0, 0, 79, 18, 147
"d:\PBL_test\event_name\models.py", "Python", 41, 0, 0, 47, 26, 114
"d:\PBL_test\event_name\routes.py", "Python", 237, 0, 0, 52, 83, 372
"d:\PBL_test\event_name\static\main.css", "CSS", 0, 0, 196, 12, 48, 256
"d:\PBL_test\event_name\templates\about.html", "HTML", 0, 55, 0, 1, 8, 64
"d:\PBL_test\event_name\templates\account.html", "HTML", 0, 62, 0, 0, 6, 68
"d:\PBL_test\event_name\templates\base.html", "HTML", 0, 29, 0, 35, 3, 67
"d:\PBL_test\event_name\templates\create_event.html", "HTML", 0, 62, 0, 0, 0, 62
"d:\PBL_test\event_name\templates\customer_care.html", "HTML", 0, 149, 0, 0, 7, 156
"d:\PBL_test\event_name\templates\email.html", "HTML", 0, 26, 0, 0, 2, 28
"d:\PBL_test\event_name\templates\enrolled_events.html", "HTML", 0, 49, 0, 0, 6, 55
"d:\PBL_test\event_name\templates\enrollment.html", "HTML", 0, 36, 0, 0, 8, 44
"d:\PBL_test\event_name\templates\event.html", "HTML", 0, 55, 0, 3, 5, 63
"d:\PBL_test\event_name\templates\event_info.html", "HTML", 0, 78, 0, 3, 6, 87
"d:\PBL_test\event_name\templates\event_status.html", "HTML", 0, 32, 0, 0, 8, 40
"d:\PBL_test\event_name\templates\home.html", "HTML", 0, 67, 0, 3, 8, 78
"d:\PBL_test\event_name\templates\layout.html", "HTML", 0, 106, 0, 33, 8, 147
"d:\PBL_test\event_name\templates\login.html", "HTML", 0, 50, 0, 0, 5, 55
"d:\PBL_test\event_name\templates\org_events.html", "HTML", 0, 51, 0, 3, 7, 61
"d:\PBL_test\event_name\templates\register.html", "HTML", 0, 89, 0, 0, 6, 95
"d:\PBL_test\event_name\templates\search.html", "HTML", 0, 75, 0, 3, 7, 85
"d:\PBL_test\event_name\utils.py", "Python", 0, 0, 0, 15, 2, 17
"Total", "-", 349, 1071, 196, 289, 284, 2189